book_names,author_pages,no_of_pages,no_of_ratings,avg_rating,my_rating,date_added,date_read,image_sources,image_name,name
Hayat İmkânsız,https://www.goodreads.com/author/show/76360.Matt_Haig,368,153414,3.47,3.0,"June 20, 2025","Jun 20, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1728164304l/220149423._SY75_.jpg,www/cover_54.png,Matt Haig
We Spread,https://www.goodreads.com/author/show/4112760.Iain_Reid,289,23530,3.75,2.0,"June 15, 2025","Jun 15, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1644353572l/60209475._SY75_.jpg,www/cover_55.png,Iain Reid
Foe: A Novel,https://www.goodreads.com/author/show/4112760.Iain_Reid,288,37900,3.7,3.0,"June 10, 2025","Jun 10, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1697728896l/195791674._SY75_.jpg,www/cover_56.png,Iain Reid
I'm Thinking of Ending Things,https://www.goodreads.com/author/show/4112760.Iain_Reid,212,202167,3.51,4.0,"June 08, 2025","Jun 08, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1602627624l/55664348._SY75_.jpg,www/cover_57.png,Iain Reid
James,https://www.goodreads.com/author/show/31723.Percival_Everett,303,494104,4.44,4.0,"June 02, 2025","Jun 04, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1695912486l/199213388._SY75_.jpg,www/cover_58.png,Percival Everett
Erasure,https://www.goodreads.com/author/show/31723.Percival_Everett,280,31894,4.17,3.0,"May 26, 2025","May 31, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1708274015l/355862._SY75_.jpg,www/cover_59.png,Percival Everett
Sabahın Üçü,https://www.goodreads.com/author/show/122110.Gianrico_Carofiglio,152,7752,4.04,5.0,"May 29, 2025","May 29, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1717090160l/214032256._SY75_.jpg,www/cover_60.png,Gianrico Carofiglio
The Details,https://www.goodreads.com/author/show/6430130.Ia_Genberg,144,25265,3.88,4.0,"May 24, 2025","May 25, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1669323616l/63313297._SY75_.jpg,www/cover_61.png,Ia Genberg
Is Mother Dead,https://www.goodreads.com/author/show/736475.Vigdis_Hjorth,330,6876,3.86,4.0,"May 19, 2025","May 20, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660057454l/60059857._SY75_.jpg,www/cover_62.png,Vigdis Hjorth
The Giver Movie Tie-in Edition: A Newbery Award Winner (Giver Quartet Book 1),https://www.goodreads.com/author/show/2493.Lois_Lowry,99,2808735,4.12,4.0,"May 13, 2025","May 17, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1727407258l/219603911._SX50_.jpg,www/cover_63.png,Lois Lowry
Gazap Üzümleri,https://www.goodreads.com/author/show/585.John_Steinbeck,540,994553,4.03,4.0,"April 28, 2025","May 17, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628755314l/58753870._SY75_.jpg,www/cover_64.png,John Steinbeck
Paradais,https://www.goodreads.com/author/show/7127150.Fernanda_Melchor,118,18212,3.62,2.0,"May 08, 2025","May 08, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628540029l/58730652._SY75_.jpg,www/cover_65.png,Fernanda Melchor
